timestep,velocity_norm_mean,velocity_norm_std,angular_diff_mean,angular_diff_std,cosine_sim_mean
1.0,55.728471448659285,0.6313263664160238,,,
0.9472135901451111,56.633754378999285,1.7584860532180122,7.432908132557979,3.079696082702988,0.9901618672453839
0.8872983455657959,57.61048034511869,2.508909299245576,5.566278307639119,2.3017121303416883,0.9944782638183945
0.8162277936935425,58.41372631882768,2.9353312824083413,5.132334877462948,2.153827922118594,0.9952844184682802
0.7236068248748779,59.132899125823585,3.223620489735128,6.767767115931987,2.208063511287465,0.9922921846589774
0.5,59.11099834393357,3.409939477510769,7.139205196019634,1.865497940946418,0.9917191632873262
0.27639320492744446,58.416718573216585,3.6252575963354476,5.83931370342479,1.421594310904403,0.994503638171174
0.1837722361087799,57.56492373766497,3.843356992277648,4.371442039909265,1.0207605041811227,0.9969318717946787
0.1127016544342041,56.046861624168926,4.193239707166277,5.587247663141821,1.18494106985419,0.9950353236454527
0.052786409854888916,50.34135949215316,5.136863197512029,11.868610135734539,2.034702670848583,0.9780015085664246
