eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std,curv_mean_k,curv_std_k
0,0.025,midpoint,0.9959789514541626,0.000667809508740902,4.620824,2.256509,55.664852142333984,0.1271757036447525,4.502608299255371,2.197068929672241
1,0.05,start,0.9955094456672668,0.0006926110363565385,4.9647756,2.209375,56.115211486816406,0.17435823380947113,4.896634101867676,2.274946451187134
2,0.07500000000000001,midpoint,0.9979943633079529,0.0002513562794774771,3.4178023,1.2226605,56.60661697387695,0.2304682582616806,3.429763078689575,1.3245705366134644
3,0.1,start,0.9983384609222412,0.00028151398873887956,3.0557451,1.2568113,57.15797805786133,0.28762513399124146,3.1159567832946777,1.3610670566558838
4,0.125,midpoint,0.9990214109420776,0.00017604728054720908,2.315204,1.0333178,57.56100082397461,0.33242350816726685,2.37662935256958,1.1196013689041138
5,0.15000000000000002,start,0.9989344477653503,0.0002739056944847107,2.3433726,1.2289551,58.001888275146484,0.38166922330856323,2.4301369190216064,1.334457516670227
6,0.17500000000000002,midpoint,0.9993489384651184,0.00013979466166347265,1.8646513,0.8941808,58.3246955871582,0.4149743616580963,1.9386299848556519,0.9689968824386597
7,0.2,start,0.9992932677268982,0.00014445603301282972,1.9222977,0.97322834,58.658958435058594,0.44934898614883423,2.0090255737304688,1.0598653554916382
8,0.225,midpoint,0.9995738863945007,6.045936606824398e-05,1.5326006,0.6705897,58.884254455566406,0.47474420070648193,1.5991196632385254,0.7170335054397583
9,0.25,start,0.9995471835136414,6.539010064443573e-05,1.5680795,0.71777326,59.109378814697266,0.49778270721435547,1.638258695602417,0.7573947906494141
10,0.275,midpoint,0.9997068047523499,3.904975164914504e-05,1.2866465,0.5195407,59.26453399658203,0.5109110474586487,1.3425239324569702,0.5433300733566284
11,0.30000000000000004,start,0.9996790289878845,4.923996311845258e-05,1.3319662,0.577013,59.412109375,0.5213782787322998,1.3891942501068115,0.5972199440002441
12,0.32500000000000007,midpoint,0.9997756481170654,2.3893655452411622e-05,1.1298336,0.44414577,59.519752502441406,0.5281481742858887,1.1778608560562134,0.45690834522247314
13,0.35000000000000003,start,0.9997591376304626,2.252176454931032e-05,1.1665081,0.47009772,59.623741149902344,0.5337942838668823,1.2159630060195923,0.4818902313709259
14,0.37500000000000006,midpoint,0.9998289942741394,1.6489408153574914e-05,1.001949,0.345361,59.687931060791016,0.537911593914032,1.0437695980072021,0.3522275388240814
15,0.4,start,0.9998180270195007,2.025178946496453e-05,1.0315146,0.36158422,59.75333023071289,0.5410670042037964,1.074392557144165,0.3663509786128998
16,0.42500000000000004,midpoint,0.9998617172241211,1.4104196452535689e-05,0.91120815,0.27936566,59.79004669189453,0.5437901616096497,0.9489898681640625,0.2812473773956299
17,0.45,start,0.9998496770858765,1.6060714187915437e-05,0.9459984,0.3035637,59.82003402709961,0.5457760691642761,0.9845049977302551,0.3026407063007355
18,0.47500000000000003,midpoint,0.9998782873153687,1.2079870430170558e-05,0.85636586,0.2560017,59.83029556274414,0.5477904677391052,0.891402542591095,0.25420090556144714
19,0.5,start,0.9998656511306763,1.5025461834738962e-05,0.8952493,0.2840014,59.836002349853516,0.5496270656585693,0.9312061071395874,0.28116199374198914
20,0.525,midpoint,0.9998883605003357,1.0534079592616763e-05,0.82613724,0.22630152,59.8250732421875,0.5514068603515625,0.8597232699394226,0.22312146425247192
21,0.55,start,0.9998757839202881,1.20307986435364e-05,0.869917,0.24322192,59.80306625366211,0.5531041622161865,0.9045814871788025,0.23854142427444458
22,0.5750000000000001,midpoint,0.9998902678489685,9.927900464390405e-06,0.8221108,0.21093734,59.77465057373047,0.5549493432044983,0.8550182580947876,0.20622605085372925
23,0.6000000000000001,start,0.9998735785484314,1.27723260447965e-05,0.87941146,0.23719649,59.73280334472656,0.5572124719619751,0.9138476252555847,0.23096667230129242
24,0.6250000000000001,midpoint,0.9998834133148193,1.0908503099926747e-05,0.8484073,0.2135818,59.68350601196289,0.5597361326217651,0.8816308379173279,0.20664191246032715
25,0.65,start,0.999860405921936,1.4283417840488255e-05,0.92492336,0.24726632,59.62371826171875,0.56260085105896,0.9597659707069397,0.2377444952726364
26,0.675,midpoint,0.9998655915260315,1.2250261534063611e-05,0.9111884,0.22937506,59.55305480957031,0.5655289888381958,0.9454746842384338,0.2192857712507248
27,0.7000000000000001,start,0.9998347163200378,1.5360252291429788e-05,1.0065066,0.2686206,59.463600158691406,0.5687437057495117,1.0430188179016113,0.2559065818786621
28,0.7250000000000001,midpoint,0.999834418296814,1.3497127838490997e-05,1.0115225,0.25299075,59.35941696166992,0.5716392397880554,1.0480953454971313,0.23970577120780945
29,0.75,start,0.9997876882553101,1.8031540093943477e-05,1.1426356,0.29770482,59.235782623291016,0.5746937394142151,1.1814848184585571,0.28142833709716797
30,0.775,midpoint,0.9997835755348206,1.608196907909587e-05,1.1590267,0.27955467,59.071170806884766,0.5781760215759277,1.2003521919250488,0.26160672307014465
31,0.8,start,0.999707818031311,2.188946928072255e-05,1.343861,0.33620557,58.873291015625,0.5819048881530762,1.3875374794006348,0.31392884254455566
32,0.8250000000000001,midpoint,0.9996795654296875,2.0223351384629495e-05,1.4129518,0.32810116,58.648948669433594,0.5862451791763306,1.4561976194381714,0.3009769916534424
33,0.8500000000000001,start,0.9995365142822266,2.9517907023546286e-05,1.6969959,0.40481597,58.33338165283203,0.5925757884979248,1.7472773790359497,0.3692438304424286
34,0.8750000000000001,midpoint,0.9994341135025024,3.243966420996003e-05,1.8819748,0.41751394,57.942527770996094,0.600886881351471,1.9337385892868042,0.36990025639533997
35,0.9,start,0.9990043640136719,6.007279807818122e-05,2.4932709,0.56773007,57.35873031616211,0.6159031987190247,2.5524210929870605,0.496565580368042
36,0.925,midpoint,0.9984641671180725,8.392340532736853e-05,3.1058855,0.6638306,56.56013870239258,0.6392885446548462,3.158735990524292,0.5547003149986267
37,0.9500000000000001,start,0.9962881803512573,0.00018525883206166327,4.8185277,1.0822157,55.105953216552734,0.6840513944625854,4.857806205749512,0.8731756210327148
38,0.9750000000000001,midpoint,0.9885975122451782,0.0004937382182106376,8.4649105,1.838827,52.64133071899414,0.7759414911270142,8.231772422790527,1.3163594007492065
