# Timestep Metrics Log
# Format: step | avg_loss | avg_1-cos_sim
#======================================================================
Step 25400: loss=0.183901, 1-cos=0.076176
Step 25600: loss=0.170022, 1-cos=0.074513
Step 25800: loss=0.166992, 1-cos=0.067210
Step 26000: loss=0.183548, 1-cos=0.080629
Step 26200: loss=0.180719, 1-cos=0.077100
Step 26400: loss=0.182711, 1-cos=0.074952
Step 26600: loss=0.174854, 1-cos=0.070891
Step 26800: loss=0.169704, 1-cos=0.070491
Step 27000: loss=0.183009, 1-cos=0.077660
Step 27200: loss=0.192485, 1-cos=0.080979
Step 27400: loss=0.181763, 1-cos=0.075014
Step 27600: loss=0.172133, 1-cos=0.071246
Step 27800: loss=0.200405, 1-cos=0.083690
Step 28000: loss=0.159346, 1-cos=0.068052
Step 28200: loss=0.193001, 1-cos=0.082168
Step 28400: loss=0.179904, 1-cos=0.074682
Step 28600: loss=0.167516, 1-cos=0.070129
Step 28800: loss=0.184299, 1-cos=0.079823
Step 29000: loss=0.169554, 1-cos=0.071974
Step 29200: loss=0.165635, 1-cos=0.069504
Step 29400: loss=0.180438, 1-cos=0.078105
Step 29600: loss=0.192975, 1-cos=0.080703
Step 29800: loss=0.192810, 1-cos=0.084040
Step 30000: loss=0.162526, 1-cos=0.068300
Step 30200: loss=0.204677, 1-cos=0.084020
Step 30400: loss=0.171459, 1-cos=0.070628
Step 30600: loss=0.179059, 1-cos=0.076905
Step 30800: loss=0.186895, 1-cos=0.078477
Step 31000: loss=0.183267, 1-cos=0.077777
Step 31200: loss=0.195343, 1-cos=0.081789
Step 31400: loss=0.186352, 1-cos=0.080996
Step 31600: loss=0.170936, 1-cos=0.070781
Step 31800: loss=0.170886, 1-cos=0.069017
Step 32000: loss=0.186411, 1-cos=0.078884
Step 32200: loss=0.151945, 1-cos=0.062560
Step 32400: loss=0.166318, 1-cos=0.070367
Step 32600: loss=0.197495, 1-cos=0.082749
Step 32800: loss=0.151859, 1-cos=0.062119
Step 33000: loss=0.171614, 1-cos=0.071230
Step 33200: loss=0.175014, 1-cos=0.073942
Step 33400: loss=0.161338, 1-cos=0.066810
Step 33600: loss=0.178412, 1-cos=0.074536
Step 33800: loss=0.203344, 1-cos=0.086016
Step 34000: loss=0.170162, 1-cos=0.070503
Step 34200: loss=0.186132, 1-cos=0.078674
Step 34400: loss=0.176903, 1-cos=0.072527
Step 34600: loss=0.200779, 1-cos=0.083747
Step 34800: loss=0.178334, 1-cos=0.073948
Step 35000: loss=0.146506, 1-cos=0.060485
Step 35200: loss=0.164699, 1-cos=0.069521
Step 35400: loss=0.201427, 1-cos=0.088349
Step 35600: loss=0.199856, 1-cos=0.085790
Step 35800: loss=0.179098, 1-cos=0.075252
Step 36000: loss=0.178433, 1-cos=0.074584
Step 36200: loss=0.190395, 1-cos=0.082148
Step 36400: loss=0.177167, 1-cos=0.073779
Step 36600: loss=0.205347, 1-cos=0.083660
Step 36800: loss=0.173069, 1-cos=0.073180
Step 37000: loss=0.162285, 1-cos=0.066522
Step 37200: loss=0.207760, 1-cos=0.091483
Step 37400: loss=0.168706, 1-cos=0.069733
Step 37600: loss=0.170095, 1-cos=0.071674
Step 37800: loss=0.163552, 1-cos=0.069036
Step 38000: loss=0.192309, 1-cos=0.080593
Step 38200: loss=0.190323, 1-cos=0.080206
Step 38400: loss=0.159972, 1-cos=0.067904
Step 38600: loss=0.207177, 1-cos=0.097489
Step 38800: loss=0.180010, 1-cos=0.075553
Step 39000: loss=0.176847, 1-cos=0.073574
Step 39200: loss=0.189793, 1-cos=0.079643
Step 39400: loss=0.194922, 1-cos=0.084966
Step 39600: loss=0.184647, 1-cos=0.077649
Step 39800: loss=0.194901, 1-cos=0.084466
Step 40000: loss=0.181991, 1-cos=0.078766
Step 40200: loss=0.179850, 1-cos=0.074834
Step 40400: loss=0.192792, 1-cos=0.082176
Step 40600: loss=0.169929, 1-cos=0.071772
Step 40800: loss=0.172058, 1-cos=0.072814
Step 41000: loss=0.175624, 1-cos=0.073424
Step 41200: loss=0.178787, 1-cos=0.077202
Step 41400: loss=0.191901, 1-cos=0.080068
Step 41600: loss=0.194946, 1-cos=0.081296
Step 41800: loss=0.166712, 1-cos=0.068229
Step 42000: loss=0.191712, 1-cos=0.082989
Step 42200: loss=0.184424, 1-cos=0.080465
Step 42400: loss=0.178360, 1-cos=0.074345
Step 42600: loss=0.199588, 1-cos=0.083520
Step 42800: loss=0.173105, 1-cos=0.070978
Step 43000: loss=0.183581, 1-cos=0.078502
Step 43200: loss=0.168954, 1-cos=0.070794
Step 43400: loss=0.174203, 1-cos=0.073207
Step 43600: loss=0.195884, 1-cos=0.083167
Step 43800: loss=0.181339, 1-cos=0.079515
Step 44000: loss=0.178319, 1-cos=0.072940
Step 44200: loss=0.165465, 1-cos=0.068453
Step 44400: loss=0.159635, 1-cos=0.066963
Step 44600: loss=0.168832, 1-cos=0.070763
Step 44800: loss=0.165849, 1-cos=0.068755
Step 45000: loss=0.158862, 1-cos=0.067003
Step 45200: loss=0.183037, 1-cos=0.076729
Step 45400: loss=0.176445, 1-cos=0.071000
Step 45600: loss=0.192270, 1-cos=0.082231
Step 45800: loss=0.189773, 1-cos=0.081498
Step 46000: loss=0.149578, 1-cos=0.063551
Step 46200: loss=0.162290, 1-cos=0.067384
Step 46400: loss=0.194473, 1-cos=0.081669
Step 46600: loss=0.170898, 1-cos=0.071726
Step 46800: loss=0.163623, 1-cos=0.069306
Step 47000: loss=0.177868, 1-cos=0.072995
Step 47200: loss=0.164666, 1-cos=0.069092
Step 47400: loss=0.190119, 1-cos=0.080514
Step 47600: loss=0.169268, 1-cos=0.070929
Step 47800: loss=0.188655, 1-cos=0.080062
Step 48000: loss=0.161758, 1-cos=0.067548
Step 48200: loss=0.212943, 1-cos=0.092394
Step 48400: loss=0.191606, 1-cos=0.082502
Step 48600: loss=0.157785, 1-cos=0.065369
Step 48800: loss=0.192993, 1-cos=0.082173
Step 49000: loss=0.183013, 1-cos=0.076905
Step 49200: loss=0.173752, 1-cos=0.073822
Step 49400: loss=0.181585, 1-cos=0.076104
Step 49600: loss=0.206818, 1-cos=0.091501
Step 49800: loss=0.174179, 1-cos=0.071780
Step 50000: loss=0.176924, 1-cos=0.074612
Step 50200: loss=0.178280, 1-cos=0.074373
Step 50400: loss=0.189483, 1-cos=0.079664
Step 50600: loss=0.182423, 1-cos=0.079012
Step 50800: loss=0.161136, 1-cos=0.067506
Step 51000: loss=0.183619, 1-cos=0.078595
Step 51200: loss=0.188541, 1-cos=0.079628
Step 51400: loss=0.162041, 1-cos=0.067595
Step 51600: loss=0.170773, 1-cos=0.069787
Step 51800: loss=0.165137, 1-cos=0.067778
Step 52000: loss=0.180530, 1-cos=0.075519
Step 52200: loss=0.194775, 1-cos=0.083698
Step 52400: loss=0.179979, 1-cos=0.074866
Step 52600: loss=0.170761, 1-cos=0.072114
Step 52800: loss=0.184968, 1-cos=0.078551
Step 53000: loss=0.170406, 1-cos=0.069972
Step 53200: loss=0.173209, 1-cos=0.072845
Step 53400: loss=0.164785, 1-cos=0.068116
Step 53600: loss=0.192861, 1-cos=0.083261
Step 53800: loss=0.160467, 1-cos=0.065942
Step 54000: loss=0.202058, 1-cos=0.090483
Step 54200: loss=0.181976, 1-cos=0.077603
Step 54400: loss=0.188198, 1-cos=0.080047
Step 54600: loss=0.162005, 1-cos=0.066482
Step 54800: loss=0.152140, 1-cos=0.062941
Step 55000: loss=0.155558, 1-cos=0.063482
Step 55200: loss=0.176223, 1-cos=0.076001
Step 55400: loss=0.156917, 1-cos=0.064383
