eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std,curv_mean_k,curv_std_k
0,0.25,midpoint,1.6707984076672934e-14,3.416909402527921e-17,90.0,0.0,10.572192192077637,0.021433670073747635,10.57219123840332,0.11917708069086075
1,0.5,start,0.983017086982727,0.001424933085218072,10.076544,3.2301364,43.32381820678711,0.10063179582357407,32.98737335205078,0.8595723509788513
2,0.75,midpoint,0.9777506589889526,0.0019202000694349408,11.756698,2.9237337,105.14419555664062,0.29700544476509094,63.441688537597656,1.5281251668930054
