eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std,curv_mean_k,curv_std_k
0,0.025,midpoint,1.6721643329980357e-14,3.8530764455712123e-17,90.0,0.0,0.10451388359069824,0.00024084371398203075,0.10451388359069824,0.0011290523689240217
1,0.05,start,0.9999999403953552,1.5122182617233193e-08,0.021662278,0.011281211,0.41804346442222595,0.0009635987225919962,0.3135295808315277,0.003388851648196578
2,0.07500000000000001,midpoint,0.9999998807907104,4.6257923713710625e-08,0.041396577,0.011104433,0.940560519695282,0.002169625600799918,0.5225173830986023,0.00566068897023797
3,0.1,start,0.9999991059303284,1.1280262413038145e-07,0.07322159,0.025383435,1.671734094619751,0.0038630834314972162,0.7311754822731018,0.007956605404615402
4,0.125,midpoint,0.9999975562095642,2.870726518722222e-07,0.118847065,0.04495234,2.6112186908721924,0.006050679832696915,0.9394960403442383,0.010309788398444653
5,0.15000000000000002,start,0.9999932646751404,8.818714150038431e-07,0.19712973,0.07891845,3.758134126663208,0.008749146945774555,1.1469742059707642,0.012747849337756634
6,0.17500000000000002,midpoint,0.9999834895133972,2.2670715225103777e-06,0.30349526,0.12852459,5.11375617980957,0.011962887831032276,1.3558567762374878,0.01527191512286663
7,0.2,start,0.9999623894691467,5.737050287279999e-06,0.4525744,0.20589176,6.67335844039917,0.015716051682829857,1.5604243278503418,0.01797272078692913
8,0.225,midpoint,0.9999178647994995,1.3791495803161524e-05,0.6605389,0.32064477,8.444690704345703,0.020029589533805847,1.7739349603652954,0.02132103592157364
9,0.25,start,0.9998388886451721,2.9368271498242393e-05,0.9155682,0.46859914,10.420445442199707,0.025002814829349518,1.982873558998108,0.028557635843753815
10,0.275,midpoint,0.999744176864624,4.7180234105326235e-05,1.153578,0.5909488,12.62055492401123,0.031016480177640915,2.2151832580566406,0.04569108411669731
11,0.30000000000000004,start,0.999640166759491,6.445291364798322e-05,1.3774071,0.68270534,15.030863761901855,0.03918423131108284,2.4380102157592773,0.07732513546943665
12,0.32500000000000007,midpoint,0.9995979070663452,6.420096178771928e-05,1.4804865,0.66963536,17.679288864135742,0.05102290213108063,2.6877729892730713,0.11056002229452133
13,0.35000000000000003,start,0.9995014667510986,7.474914309568703e-05,1.6613387,0.716963,20.549482345581055,0.06913318485021591,2.9313318729400635,0.16421858966350555
14,0.37500000000000006,midpoint,0.9995278120040894,6.415941606974229e-05,1.6404248,0.6406154,23.689512252807617,0.0931205153465271,3.211183786392212,0.19445350766181946
15,0.4,start,0.9994455575942993,8.487801824230701e-05,1.7761676,0.6975702,27.06087303161621,0.12646178901195526,3.4729859828948975,0.2644045650959015
16,0.42500000000000004,midpoint,0.9995508193969727,7.59805116103962e-05,1.6034932,0.6156169,30.708751678466797,0.1636347770690918,3.746933937072754,0.2732032537460327
17,0.45,start,0.9994547963142395,9.911919187288731e-05,1.7495143,0.7209746,34.591087341308594,0.21192947030067444,4.024869441986084,0.36466172337532043
18,0.47500000000000003,midpoint,0.9995520114898682,0.00010677387763280421,1.5611256,0.7109604,38.751869201660156,0.26121270656585693,4.298194408416748,0.3774574100971222
19,0.5,start,0.9993792176246643,0.00018554370035417378,1.791109,0.93267286,43.15715408325195,0.32884907722473145,4.62119722366333,0.5758600234985352
20,0.525,midpoint,0.999523937702179,0.00012680517102126032,1.5744807,0.8050021,47.842342376708984,0.39550524950027466,4.881458759307861,0.5317686796188354
21,0.55,start,0.9993711113929749,0.00016167169087566435,1.8137952,0.9173032,52.76467514038086,0.47541266679763794,5.219420433044434,0.6656687259674072
22,0.5750000000000001,midpoint,0.9995473027229309,9.863771265372634e-05,1.5528624,0.7494305,57.96016311645508,0.5476176738739014,5.445942401885986,0.5586724281311035
23,0.6000000000000001,start,0.9993878602981567,0.00012027695629512891,1.809803,0.8634722,63.35752868652344,0.6399961113929749,5.780499458312988,0.7190382480621338
24,0.6250000000000001,midpoint,0.9995784759521484,6.20199934928678e-05,1.5299295,0.65382165,69.03590393066406,0.7219624519348145,5.985676288604736,0.5476139187812805
