eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std
0,0.05,midpoint,0.9870741367340088,0.0019035894656553864,8.492356,3.618438,55.91305160522461,0.1643979251384735
1,0.1,start,0.9912441372871399,0.0011069030733779073,7.102038,2.6814113,57.12006759643555,0.3120196461677551
2,0.15000000000000002,midpoint,0.9973255395889282,0.0004434716538526118,3.8721862,1.6072292,57.74576950073242,0.3676416277885437
3,0.2,start,0.9972332119941711,0.0004361955216154456,3.8754086,1.779707,58.442569732666016,0.413623183965683
4,0.25,midpoint,0.9987159371376038,0.000173540145624429,2.6779923,1.1242974,58.781375885009766,0.43492308259010315
5,0.30000000000000004,start,0.9986396431922913,0.00013784115435555577,2.7764716,1.1079825,59.12423324584961,0.4507679045200348
6,0.35000000000000003,midpoint,0.9992924332618713,7.636845839442685e-05,2.0521808,0.6597966,59.29549026489258,0.4564092755317688
7,0.4,start,0.9992069602012634,0.00010095764446305111,2.1732755,0.69647664,59.44514083862305,0.457811176776886
8,0.45,midpoint,0.9994998574256897,6.309343007160351e-05,1.7445222,0.49105057,59.493064880371094,0.4606068730354309
9,0.5,start,0.9994191527366638,6.590114935534075e-05,1.8723577,0.5553411,59.518863677978516,0.4634729325771332
10,0.55,midpoint,0.9995695948600769,3.904510958818719e-05,1.6271979,0.42238066,59.475833892822266,0.46596843004226685
11,0.6000000000000001,start,0.9994615316390991,5.161844819667749e-05,1.8151702,0.49121353,59.412906646728516,0.46957993507385254
12,0.6500000000000001,midpoint,0.9995401501655579,3.766028385143727e-05,1.6953654,0.38149416,59.305809020996094,0.4746745526790619
13,0.7000000000000001,start,0.999355673789978,5.336670801625587e-05,2.0014274,0.47484782,59.14707565307617,0.48281610012054443
14,0.7500000000000001,midpoint,0.999343991279602,4.5479795517167076e-05,2.0294545,0.43503112,58.93292236328125,0.4937293231487274
15,0.8,start,0.9989463090896606,9.197531471727416e-05,2.5647058,0.5846875,58.559391021728516,0.512769341468811
16,0.8500000000000001,midpoint,0.9986780881881714,9.73290007095784e-05,2.8864782,0.59185606,58.06737518310547,0.5350003838539124
17,0.9,start,0.9969164729118347,0.00022310401254799217,4.403046,0.9336931,57.07664489746094,0.5807206034660339
18,0.9500000000000001,midpoint,0.9918209910392761,0.0005406424170359969,7.2033215,1.3779055,55.10872268676758,0.6640278697013855
