eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std,curv_mean_k,curv_std_k
0,0.01,midpoint,1.6733662727501895e-14,2.989411212304186e-17,90.0,0.0,0.01673365756869316,2.9895754778408445e-05,0.01673365943133831,0.0001871567510534078
1,0.02,start,1.0,0.0,0.009230983,0.01201851,0.06693495064973831,0.00011957013339269906,0.05020128935575485,0.0005614519468508661
2,0.03,midpoint,1.0,1.5122182617233193e-08,0.011333379,0.012500191,0.15060533583164215,0.00026904745027422905,0.08367040008306503,0.0009359981049783528
3,0.04,start,1.0,5.4072568644869534e-08,0.015226604,0.012732095,0.2677435576915741,0.000478374189697206,0.11713822185993195,0.0013106827391311526
4,0.05,midpoint,1.0,4.799102626407148e-08,0.014385836,0.012604461,0.41833895444869995,0.0007476628525182605,0.15059548616409302,0.0016857343725860119
5,0.06,start,0.9999999403953552,1.088226930789915e-08,0.020728925,0.01130035,0.6023651361465454,0.0010768453357741237,0.18402621150016785,0.00206222222186625
6,0.06999999999999999,midpoint,0.9999999403953552,0.0,0.024020255,0.010983478,0.8198416233062744,0.0014669314259663224,0.2174767702817917,0.0024392225313931704
7,0.08,start,0.9999999403953552,4.734854641696984e-08,0.03264829,0.009436388,1.0707038640975952,0.0019180108793079853,0.2508629858493805,0.0028212175238877535
8,0.09,midpoint,0.9999999403953552,2.6808764985730704e-08,0.03518377,0.009567367,1.3551541566848755,0.002428444568067789,0.2844512164592743,0.003201880492269993
9,0.1,start,0.9999997615814209,4.6784595753024405e-08,0.04279126,0.010824722,1.6728676557540894,0.003002491546794772,0.3177156448364258,0.0035850326530635357
10,0.11,midpoint,0.9999997615814209,4.281970333863683e-08,0.04831164,0.013191298,2.0238726139068604,0.0036377697251737118,0.35100868344306946,0.003977779299020767
11,0.12,start,0.999999463558197,5.530461777425444e-08,0.055076804,0.016281683,2.4080240726470947,0.004335733130574226,0.38415777683258057,0.004372892435640097
12,0.13,midpoint,0.9999991059303284,9.512734067129713e-08,0.069790274,0.022218246,2.8258752822875977,0.005100152920931578,0.4178646206855774,0.004775595851242542
13,0.14,start,0.9999989867210388,1.2397818238696345e-07,0.07818416,0.0267595,3.27677321434021,0.005926406942307949,0.45091933012008667,0.005182454362511635
14,0.15000000000000002,midpoint,0.9999986290931702,1.7252595796435344e-07,0.09063411,0.03223207,3.7607791423797607,0.006819708738476038,0.484041690826416,0.00560140423476696
15,0.16,start,0.9999978542327881,2.732249981818313e-07,0.112191826,0.041878495,4.278031826019287,0.0077765448950231075,0.5173208117485046,0.006023341324180365
16,0.17,midpoint,0.9999973177909851,3.53701182120858e-07,0.12554732,0.04868724,4.828373432159424,0.008808351121842861,0.5504447817802429,0.0064712343737483025
17,0.18,start,0.9999960064888,5.284425128593284e-07,0.14920941,0.059643835,5.4117207527160645,0.00990401953458786,0.5835235714912415,0.006913647521287203
18,0.19,midpoint,0.9999945163726807,7.47442527426756e-07,0.17559107,0.07274672,6.0285186767578125,0.011066906154155731,0.6170880198478699,0.007394555024802685
19,0.2,start,0.9999924898147583,1.0672432608771487e-06,0.20374396,0.087362334,6.677824974060059,0.012299386784434319,0.649770200252533,0.007889258675277233
20,0.21000000000000002,midpoint,0.9999893307685852,1.544235487926926e-06,0.24248096,0.1069792,7.361340522766113,0.013596376404166222,0.6842828392982483,0.008457924239337444
21,0.22,start,0.9999862313270569,2.0673705876106396e-06,0.27445343,0.12491339,8.077266693115234,0.014947410672903061,0.7170722484588623,0.009123642928898335
22,0.23,midpoint,0.9999817609786987,2.7667433641909156e-06,0.313845,0.14631894,8.826920509338379,0.01637151837348938,0.7513818144798279,0.009992974810302258
23,0.24,start,0.9999765753746033,3.623330940172309e-06,0.3538478,0.16843167,9.609786033630371,0.017847919836640358,0.7853862643241882,0.011214134283363819
24,0.25,midpoint,0.9999703168869019,4.635025561583461e-06,0.39802566,0.19089085,10.428356170654297,0.01938886195421219,0.8221731185913086,0.012983502820134163
