Training started at 2025-11-28 11:51:55
Configuration:
  Model: icfm
  Learning rate: 0.0002
  Total steps: 400001
  Batch size: 64
  Lambda weights - vec: 0.5, r: 0.1, dir: 1.0

================================================================================

Step   5000 | Loss: 0.248601 | Vec: 0.218352 | R: 0.198929 | Dir: 0.119532 | LR: 2.000000e-04
Step   5100 | Loss: 0.249173 | Vec: 0.218196 | R: 0.210228 | Dir: 0.119052 | LR: 2.000000e-04
Step   5200 | Loss: 0.223298 | Vec: 0.193584 | R: 0.186244 | Dir: 0.107881 | LR: 2.000000e-04
Step   5300 | Loss: 0.259528 | Vec: 0.222558 | R: 0.206745 | Dir: 0.127575 | LR: 2.000000e-04
Step   5400 | Loss: 0.219438 | Vec: 0.188175 | R: 0.179313 | Dir: 0.107419 | LR: 2.000000e-04
Step   5500 | Loss: 0.232022 | Vec: 0.202246 | R: 0.187979 | Dir: 0.112102 | LR: 2.000000e-04
Step   5600 | Loss: 0.229506 | Vec: 0.198046 | R: 0.185849 | Dir: 0.111898 | LR: 2.000000e-04
Step   5700 | Loss: 0.207516 | Vec: 0.178128 | R: 0.173934 | Dir: 0.101059 | LR: 2.000000e-04
Step   5800 | Loss: 0.193646 | Vec: 0.166150 | R: 0.164539 | Dir: 0.094117 | LR: 2.000000e-04
Step   5900 | Loss: 0.230701 | Vec: 0.199858 | R: 0.194114 | Dir: 0.111360 | LR: 2.000000e-04
Step   6000 | Loss: 0.255791 | Vec: 0.221488 | R: 0.215771 | Dir: 0.123470 | LR: 2.000000e-04
Step   6100 | Loss: 0.236535 | Vec: 0.201381 | R: 0.185453 | Dir: 0.117300 | LR: 2.000000e-04
Step   6200 | Loss: 0.253165 | Vec: 0.217309 | R: 0.205771 | Dir: 0.123934 | LR: 2.000000e-04
Step   6300 | Loss: 0.195101 | Vec: 0.165808 | R: 0.156847 | Dir: 0.096512 | LR: 2.000000e-04
Step   6400 | Loss: 0.221471 | Vec: 0.189493 | R: 0.174863 | Dir: 0.109238 | LR: 2.000000e-04
Step   6500 | Loss: 0.231807 | Vec: 0.202313 | R: 0.190953 | Dir: 0.111555 | LR: 2.000000e-04
Step   6600 | Loss: 0.202466 | Vec: 0.176766 | R: 0.168955 | Dir: 0.097187 | LR: 2.000000e-04
Step   6700 | Loss: 0.236023 | Vec: 0.203652 | R: 0.190869 | Dir: 0.115110 | LR: 2.000000e-04
Step   6800 | Loss: 0.228226 | Vec: 0.200329 | R: 0.183428 | Dir: 0.109719 | LR: 2.000000e-04
Step   6900 | Loss: 0.234243 | Vec: 0.201351 | R: 0.190340 | Dir: 0.114534 | LR: 2.000000e-04
Step   7000 | Loss: 0.223753 | Vec: 0.190967 | R: 0.183387 | Dir: 0.109930 | LR: 2.000000e-04
Step   7100 | Loss: 0.228406 | Vec: 0.197505 | R: 0.192018 | Dir: 0.110452 | LR: 2.000000e-04
Step   7200 | Loss: 0.192288 | Vec: 0.165375 | R: 0.157447 | Dir: 0.093856 | LR: 2.000000e-04
Step   7300 | Loss: 0.228154 | Vec: 0.195818 | R: 0.183710 | Dir: 0.111874 | LR: 2.000000e-04
