eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std
0,0.01,midpoint,0.999566912651062,5.714291182812303e-05,1.5501056,0.6643478,55.602134704589844,0.11474397778511047
1,0.02,start,0.9990920424461365,0.00015071380767039955,2.1914518,1.0781214,55.608699798583984,0.1111447811126709
2,0.03,midpoint,0.9991378784179688,0.00013926609244663268,2.159358,1.0003238,55.70952224731445,0.11195725947618484
3,0.04,start,0.9992446899414062,0.00011027104483218864,2.0428045,0.8876652,55.88005447387695,0.12763169407844543
4,0.05,midpoint,0.9994503855705261,6.883928290335461e-05,1.7658162,0.7010076,56.07876968383789,0.15239234268665314
5,0.06,start,0.9995219111442566,5.987500480841845e-05,1.6471349,0.65339166,56.31616973876953,0.18161562085151672
6,0.06999999999999999,midpoint,0.9996602535247803,4.546935451799072e-05,1.392854,0.5398279,56.53492736816406,0.20677784085273743
7,0.08,start,0.9996951222419739,4.803304182132706e-05,1.3096179,0.5355791,56.75861740112305,0.22990922629833221
8,0.09,midpoint,0.9997695088386536,3.763826680369675e-05,1.1376891,0.46839812,56.95289993286133,0.2483522891998291
9,0.1,start,0.9997777938842773,4.042448927066289e-05,1.1058497,0.486497,57.15583419799805,0.26589223742485046
10,0.11,midpoint,0.9998207092285156,3.272988033131696e-05,0.9909683,0.4420834,57.33479690551758,0.2806801497936249
11,0.12,start,0.9998190999031067,3.420245775487274e-05,0.9845832,0.46776107,57.518375396728516,0.2951087951660156
12,0.13,midpoint,0.9998520016670227,2.484369724697899e-05,0.8929574,0.41784078,57.679771423339844,0.3069034516811371
13,0.14,start,0.9998471140861511,2.6334357244195417e-05,0.89747846,0.4455037,57.84883499145508,0.3173389434814453
14,0.15000000000000002,midpoint,0.9998724460601807,2.275543192808982e-05,0.81953907,0.4080422,57.99663162231445,0.3252921998500824
15,0.16,start,0.999862551689148,3.3819385862443596e-05,0.83215564,0.45885253,58.15243148803711,0.3325495719909668
16,0.17,midpoint,0.9998884797096252,2.502592178643681e-05,0.7561693,0.400538,58.29076385498047,0.33850952982902527
17,0.18,start,0.9998799562454224,3.3456050005042925e-05,0.7703798,0.44150522,58.426353454589844,0.34404197335243225
18,0.19,midpoint,0.9999043941497803,2.1067420675535686e-05,0.7008669,0.3697194,58.54859924316406,0.34814736247062683
19,0.2,start,0.9999014139175415,2.0971132471458986e-05,0.7093185,0.38013053,58.669677734375,0.3526219427585602
20,0.21000000000000002,midpoint,0.9999209642410278,1.3302155821293127e-05,0.64566475,0.31944746,58.77067565917969,0.35657942295074463
21,0.22,start,0.9999182820320129,1.3403018783719745e-05,0.6537145,0.33046123,58.8696174621582,0.3607795238494873
22,0.23,midpoint,0.9999337792396545,8.386422450712416e-06,0.5969288,0.2819923,58.96007537841797,0.3643202781677246
23,0.24,start,0.9999316930770874,8.257331501226872e-06,0.6053122,0.28572452,59.047428131103516,0.3679780066013336
24,0.25,midpoint,0.9999444484710693,6.950189344934188e-06,0.5523587,0.24422316,59.12300491333008,0.37124907970428467
25,0.26,start,0.999943196773529,8.282650014734827e-06,0.55816084,0.24769112,59.19491195678711,0.37473616003990173
26,0.27,midpoint,0.9999523162841797,7.0722871896578e-06,0.5161564,0.21564175,59.25883865356445,0.3778972029685974
27,0.28,start,0.9999509453773499,8.386356057599187e-06,0.52232045,0.22197162,59.32817459106445,0.38107264041900635
28,0.29000000000000004,midpoint,0.9999579787254333,7.346642632910516e-06,0.48714778,0.19659716,59.378456115722656,0.38418829441070557
29,0.3,start,0.9999554753303528,9.63214370131027e-06,0.49629647,0.2128699,59.43312072753906,0.3870675265789032
30,0.31,midpoint,0.9999615550041199,7.949975952215027e-06,0.46437302,0.19212928,59.48000717163086,0.38947272300720215
31,0.32,start,0.9999595880508423,8.474790774926078e-06,0.47333115,0.20471083,59.53010177612305,0.39155179262161255
32,0.33,midpoint,0.9999650120735168,6.360337465594057e-06,0.44500384,0.17813478,59.57258987426758,0.39327338337898254
33,0.34,start,0.99996417760849,6.563515398738673e-06,0.4493738,0.18158627,59.612937927246094,0.39499524235725403
34,0.35000000000000003,midpoint,0.9999687075614929,5.377436082198983e-06,0.4250421,0.15940821,59.64997482299805,0.3965734541416168
35,0.36,start,0.9999679923057556,5.942689767834963e-06,0.42830625,0.1623545,59.68064880371094,0.39842408895492554
36,0.37,midpoint,0.9999720454216003,4.989366516383598e-06,0.40429732,0.14356369,59.711036682128906,0.4001842737197876
37,0.38,start,0.9999712705612183,5.55417500436306e-06,0.4081663,0.14895456,59.73371505737305,0.4021136164665222
38,0.39,midpoint,0.9999741911888123,4.350353265181184e-06,0.38940513,0.13394383,59.76008224487305,0.40368717908859253
39,0.4,start,0.9999732971191406,4.4992880248173606e-06,0.39486235,0.13953234,59.78417205810547,0.4051370620727539
40,0.41000000000000003,midpoint,0.9999760985374451,3.461800588411279e-06,0.37532812,0.124651626,59.80510711669922,0.4065283536911011
41,0.42,start,0.999975323677063,3.749284360310412e-06,0.38005385,0.13044168,59.819400787353516,0.4079035818576813
42,0.43,midpoint,0.9999777674674988,3.0611611236963654e-06,0.36351004,0.11826362,59.83264923095703,0.40935683250427246
43,0.44,start,0.9999772310256958,3.2161638046090957e-06,0.36768207,0.12071701,59.83934020996094,0.41091805696487427
44,0.45,midpoint,0.9999790191650391,2.617617838041042e-06,0.35470438,0.10949128,59.851078033447266,0.41251352429389954
45,0.46,start,0.9999786615371704,2.6981317660101922e-06,0.3580983,0.11193421,59.85799026489258,0.41433191299438477
