eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std,curv_mean_k,curv_std_k
0,0.05,midpoint,1.672748785731641e-14,2.989926049517439e-17,90.0,0.0,0.4182237386703491,0.0007478477200493217,0.4182237684726715,0.0046522775664925575
1,0.1,start,0.999998152256012,2.607441444979486e-07,0.10297147,0.037458472,1.6725995540618896,0.0030038226395845413,1.254377007484436,0.014026203192770481
2,0.15000000000000002,midpoint,0.9999831914901733,2.6452160000189906e-06,0.30761707,0.12328346,3.7629098892211914,0.006836163345724344,2.090360641479492,0.023759840056300163
3,0.2,start,0.9998992085456848,1.726281152514275e-05,0.74390894,0.3295154,6.6780781745910645,0.012408210895955563,2.9160361289978027,0.03433392569422722
4,0.25,midpoint,0.9995574355125427,8.317938772961497e-05,1.5310941,0.7501302,10.442996978759766,0.020087696611881256,3.773077964782715,0.049139704555273056
5,0.30000000000000004,start,0.9988418817520142,0.0002184877375839278,2.4811046,1.2050993,15.042217254638672,0.03271085396409035,4.638160228729248,0.11077086627483368
6,0.35000000000000003,midpoint,0.9984906911849976,0.00023870459699537605,2.9122376,1.1974455,20.594764709472656,0.05957486107945442,5.634954929351807,0.22309136390686035
7,0.4,start,0.9979610443115234,0.0002801537630148232,3.421169,1.3007847,27.056055068969727,0.11415906250476837,6.631600379943848,0.42639943957328796
8,0.45,midpoint,0.9985628724098206,0.00017956140800379217,2.8843653,1.0585417,34.60075378417969,0.18220514059066772,7.718540668487549,0.47530248761177063
9,0.5,start,0.9979488253593445,0.00031154818134382367,3.3839555,1.4236783,43.04253005981445,0.2857498526573181,8.785622596740723,0.8331828713417053
10,0.55,midpoint,0.9986047744750977,0.00022407610958907753,2.7369554,1.2946482,52.6281852722168,0.385126531124115,9.900517463684082,0.8430696129798889
11,0.6000000000000001,start,0.9978005886077881,0.0004057259066030383,3.4555995,1.5851443,63.00441360473633,0.5203681588172913,11.030169486999512,1.2806024551391602
12,0.6500000000000001,midpoint,0.9986792802810669,0.0002064076834358275,2.7204735,1.1290318,74.56285095214844,0.6370591521263123,12.07285213470459,0.9299944639205933
13,0.7000000000000001,start,0.9979268312454224,0.00029764833743683994,3.4618645,1.2790537,86.58584594726562,0.7881331443786621,13.058661460876465,1.2643879652023315
14,0.7500000000000001,midpoint,0.9987183809280396,0.0001567486033309251,2.776887,0.84072953,100.0527572631836,0.92377108335495,14.254555702209473,0.8503584861755371
15,0.8,start,0.9981122612953186,0.0001764869666658342,3.3997147,0.9177368,113.21976470947266,1.0905948877334595,14.669926643371582,1.1273502111434937
16,0.8500000000000001,midpoint,0.998428225517273,0.00010130172449862584,3.1360488,0.6990261,128.40460205078125,1.2377429008483887,16.604938507080078,0.8545641303062439
17,0.9,start,0.9969664812088013,0.00023750626132823527,4.3585467,0.96603394,141.49160766601562,1.4474618434906006,16.7160701751709,1.302281379699707
18,0.9500000000000001,midpoint,0.9942179918289185,0.0004044747620355338,6.050704,1.1810951,157.29144287109375,1.7199362516403198,22.42542266845703,1.3257023096084595
