eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std
0,0.05,midpoint,0.9865963459014893,0.0029813465662300587,8.610881,3.7752585,55.87967300415039,0.19873644411563873
1,0.1,start,0.9910892248153687,0.0016384286573156714,7.199458,2.610362,57.11152267456055,0.4371300935745239
2,0.15000000000000002,midpoint,0.9972479939460754,0.0004879185580648482,3.9445326,1.5898957,57.73963928222656,0.534846305847168
3,0.2,start,0.9971782565116882,0.0005521771381609142,3.9310756,1.758917,58.449703216552734,0.5985562205314636
4,0.25,midpoint,0.9987295866012573,0.0002024510904448107,2.6856868,1.0642403,58.79459762573242,0.6159311532974243
5,0.30000000000000004,start,0.9985905885696411,0.0002473088097758591,2.8233297,1.1346344,59.14537811279297,0.6240432858467102
6,0.35000000000000003,midpoint,0.9992581009864807,0.00010272023791912943,2.0913079,0.7066078,59.323604583740234,0.6353349089622498
7,0.4,start,0.9991780519485474,0.00012401067942846566,2.198197,0.7524564,59.48444747924805,0.6471647620201111
8,0.45,midpoint,0.9995008111000061,6.137602031230927e-05,1.7417419,0.49443382,59.540828704833984,0.6559702754020691
9,0.5,start,0.9994250535964966,6.832348299212754e-05,1.8623363,0.55475235,59.573551177978516,0.6638460159301758
10,0.55,midpoint,0.9995768070220947,4.4141332182334736e-05,1.6131482,0.4199574,59.537841796875,0.6742202639579773
11,0.6000000000000001,start,0.9994693994522095,5.284943472361192e-05,1.7978864,0.50180966,59.48263931274414,0.686372697353363
12,0.6500000000000001,midpoint,0.999543309211731,3.945676508010365e-05,1.6818354,0.41236418,59.38440704345703,0.7006442546844482
13,0.7000000000000001,start,0.9993595480918884,6.13783995504491e-05,1.9853752,0.5136612,59.23517990112305,0.7172377705574036
14,0.7500000000000001,midpoint,0.9993486404418945,5.382936797104776e-05,2.0157971,0.462681,59.032493591308594,0.736003577709198
15,0.8,start,0.9989643692970276,9.427464829059318e-05,2.5364344,0.6067038,58.67472457885742,0.762474000453949
16,0.8500000000000001,midpoint,0.9987098574638367,0.00011174687824677676,2.8443913,0.61809534,58.20223617553711,0.7979909777641296
17,0.9,start,0.9969926476478577,0.00026905492995865643,4.3387275,0.9662128,57.250755310058594,0.8667697906494141
18,0.9500000000000001,midpoint,0.9921066761016846,0.0006345724104903638,7.06696,1.4011477,55.358943939208984,0.9936379790306091
