eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std
0,0.1,midpoint,0.9798288941383362,0.002679763361811638,10.912355,3.7490828,55.9243278503418,0.23782266676425934
1,0.2,start,0.9872199892997742,0.0014799939235672355,8.661401,3.026688,57.370826721191406,0.43971288204193115
2,0.30000000000000004,midpoint,0.9967519640922546,0.0003724224807228893,4.3266544,1.6203736,57.725120544433594,0.47747644782066345
3,0.4,start,0.9962929487228394,0.0003736367216333747,4.7144747,1.4613465,58.14193344116211,0.4957360327243805
4,0.5,midpoint,0.9983322620391846,0.00014059498789720237,3.214273,0.78906476,58.14522171020508,0.49788498878479004
5,0.6000000000000001,start,0.9977884292602539,0.00021578579617198557,3.700547,0.9132594,58.06283950805664,0.49982336163520813
6,0.7000000000000001,midpoint,0.9982168078422546,0.0001613001513760537,3.3512387,0.69373935,57.784339904785156,0.5044648051261902
7,0.8,start,0.9963576197624207,0.00032181208371184766,4.776306,1.0584158,57.17439270019531,0.5164482593536377
8,0.9,midpoint,0.9933940172195435,0.00039882221608422697,6.4740777,1.2308078,55.86693572998047,0.5416815876960754
