eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std,curv_mean_k,curv_std_k
0,0.25,midpoint,0.9854669570922852,0.0012932848185300827,9.4405575,2.5706983,55.07664489746094,0.14614275097846985,9.14941692352295,2.4805519580841064
1,0.5,start,0.9871661067008972,0.0013384131016209722,8.849142,2.4894345,55.301326751708984,0.20700107514858246,8.547393798828125,2.436253070831299
2,0.75,midpoint,0.9929609298706055,0.0005536217940971255,6.6851635,1.2600135,54.47740173339844,0.20765767991542816,6.458495616912842,1.2038676738739014
